Municipio,Ano,"Motos 4T
Aprobados","Motos 4T
Rechazados","Subtotal
Motos
(1)","Gasolina
Aprobados","Gasolina
Rechazados","Subtotal Gasolina
(2)","Diesel
Aprobados","Diesel
Rechazados","Subtotal
Diesel
(3)","TOTAL
(1+2+3)","Resultados Total
Aprobados","Resultados Total
Rechazados"
Amaga,"2,019",13,8,21,6,6,12,17,38,55,88,36,52
Amalfi,"2,019",30,16,46,6,5,11,4,4,8,65,40,25
Andes,"2,019",19,8,27,0,0,0,0,0,0,27,19,8
Andes,"2,019",5,3,8,11,3,14,18,2,20,42,34,8
Angelopolis,"2,019",27,12,39,2,1,3,2,0,2,44,31,13
Anza,"2,019",10,7,17,0,3,3,0,0,0,20,10,10
Armenia,"2,019",8,3,11,1,3,4,0,0,0,15,9,6
Barbosa,"2,019",162,75,237,42,32,74,16,29,45,356,220,136
Bello,"2,019",142,95,237,83,193,276,451,816,"1,267","1,780",676,"1,104"
Betania,"2,019",0,0,0,3,2,5,11,8,19,24,14,10
Buritica,"2,019",9,7,16,,,0,0,0,0,16,9,7
Caicedo,"2,019",9,0,9,0,0,0,1,0,1,10,10,0
Caldas,"2,019",179,77,256,20,46,66,27,61,88,410,226,184
Caldas,"2,019",0,0,0,0,0,0,62,13,75,75,62,13
Campamento,"2,019",30,14,44,2,1,3,5,1,6,53,37,16
Carolina del Principe,"2,019",0,0,0,0,0,0,4,1,5,5,4,1
Caucasia,"2,019",37,41,78,0,0,0,0,0,0,78,37,41
Caucasia,"2,019",0,0,0,0,0,0,15,6,21,21,15,6
Cisneros,"2,019",0,0,0,0,4,4,8,3,11,15,8,7
Ciudad Bolivar,"2,019",115,57,172,29,36,65,11,11,22,259,155,104
Concordia,"2,019",26,14,40,3,6,9,1,5,6,55,30,25
Copacabana,"2,019",119,49,168,30,37,67,248,169,417,652,397,255
Copacabana,"2,019",0,0,0,0,0,0,5,2,7,7,5,2
Donmatias,"2,019",21,3,24,10,9,19,0,1,1,44,31,13
Ebejico,"2,019",6,10,16,0,3,3,0,0,0,19,6,13
