TERMINO,DEFINICION,REFERENCIA,ARTICULO
Acopio,"Acción tendiente a reunir productos desechados o descartados por el consumidor al final de su vida útil y que están sujetos a planes de gestión de devolución de productos pos consumo, en un lugar acondicionado para tal fin, de manera segura y ambientalmente adecuada, a fin de facilitar su recolección y posterior manejo integral. El lugar donde se desarrolla esta actividad se denominará centro de acopio.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Acotamiento,Proceso mediante el cual la Autoridad Ambiental competente define el límite físico de la ronda hídrica de los cuerpos de agua en su jurisdicción.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.2.3A.2.
Acuerdo de conservación,"Mecanismo de carácter voluntario entre el titular de una licencia ambiental y el propietario, ocupante, tenedor o poseedor de un predio en el que se pactan acciones de protección, recuperación, conservación y preservación del recurso hídrico, la biodiversidad y sus servicios ecosistémicos a cambio de una contraprestación en dinero o en especie",Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Acuífero,"Unidad de roca o sedimento, capaz de almacenar y transmitir agua, entendida como el sistema que involucra las zonas de recarga, tránsito y de descarga, así como sus interacciones con otras unidades similares, las aguas superficiales y marinas.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Agua subterránea,"Se entiende por aguas subterráneas aquellas que se encuentran por debajo de la superficie del suelo o del fondo marino, las que brotan en forma natural, como las fuentes y manantiales en el sitio de afloramiento o las que requieren para su alumbramiento obras como pozos, galerías filtrantes u otros métodos similares.",NA,NA
Aguas continentales,"Cuerpos de agua que se encuentran en tierra firme hasta la línea de más alta marea promedio. Se localizan en las tierras emergidas, ya sea en forma de aguas superficiales o aguas subterráneas.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Aguas estuarinas,"Son cuerpos de agua, donde la desembocadura de un río se abre al mar. Se caracterizan por la dilución de agua marina con los aportes de agua dulce provenientes del continente.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.6.1.2.
Aguas lluvias,Aquellas recolectadas y almacenadas en los momentos y períodos de lluvias por cualquier mecanismo para su uso.,NA,NA
Aguas marinas,"Las contenidas en la zona económica exclusiva, mar territorial, aguas interiores, incluyendo las contenidas hasta la línea de más alta marea promedio.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Aguas meteóricas,Aguas que están en la atmósfera.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Aguas servidas,"Residuos líquidos provenientes del uso doméstico, comercial e industrial.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Aguas subterráneas,"Las subálveas y las ocultas debajo de la superficie del suelo o del fondo marino que brotan en forma natural, como las fuentes y manantiales captados en el sitio de afloramiento o las que requieren para su alumbramiento obras como pozos, galerías filtrantes u otras similares.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Aire,"Es el fluido que forma la atmósfera de la Tierra, constituido por una mezcla gaseosa cuya composición es, cuando menos, de veinte por ciento (20%) de oxígeno, setenta y siete por ciento (77%) de nitrógeno y proporciones variables de gases inertes y vapor de agua, en relación volumétrica.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
"Alcance de los proyectos, obras o actividades","Un proyecto, obra o actividad incluye la planeación, emplazamiento, instalación, construcción, montaje, operación, mantenimiento, desmantelamiento, abandono y/o terminación de todas las acciones, usos del espacio, actividades e infraestructura relacionados y asociados con su desarrollo.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Almacenamiento,"Es el depósito temporal de residuos o desechos peligrosos en un espacio físico definido y por un tiempo determinado con carácter previo a su aprovechamiento y/o valorización, tratamiento y/o disposición final.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Almacenamiento de residuos,"Es la acción del usuario de guardar temporalmente los residuos sólidos en depósitos, recipientes o cajas de almacenamiento, retornables o desechables, para su recolección por la persona prestadora con fines de aprovechamiento o de disposición final.",Decreto 2981 DE 2013,ARTICULO 2
Amenaza,"Peligro latente de que un evento físico de origen natural, o causado, o inducido por la acción humana de manera accidental o intencional, se presente con una severidad suficiente para causar pérdida de vidas, lesiones u otros impactos en la salud, así como también daños y pérdidas en los bienes, la infraestructura, los medios de sustento, la prestación de servicios y los recursos ambientales.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Aprovechamiento,"Es el uso, por parte del hombre, de los recursos maderables y no maderables provenientes de la flora silvestre y de las plantaciones forestales",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Aprovechamiento forestal,Es la extracción de productos de un bosque y comprende desde la obtención hasta el momento de su transformación,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Aprovechamiento sostenible,Es el uso de los recursos maderables y no maderables del bosque que se efectúa manteniendo el rendimiento normal del bosque mediante la aplicación de técnicas silvícolas que permiten la renovación y persistencia del recurso,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Aprovechamiento y/o valorización,"Es el proceso de recuperar el valor remanente o el poder calorífico de los materiales que componen los residuos o desechos peligrosos, por medio de la recuperación, el reciclado o la regeneración",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Árboles aislados dentro de la cobertura de bosque natural,"Son los árboles ubicados en terrenos de dominio público o en predios de propiedad privada que se encuentren caídos o muertos por causas naturales, o que por razones de orden fitosanitario debidamente comprobadas, requieran ser talados.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Árboles aislados fuera de la cobertura de bosque natural,"Son los individuos que resulten de regeneración natural, árboles plantados o establecidos y que no son parte de una cobertura de bosque natural o cultivo. forestal con fines comerciales.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Árboles de sombrío,"Son los árboles que acompañan, permanente o temporalmente, el desarrollo de cultivos agrícolas o de pastizales, brindándoles beneficios ambientales, tales como sombrío, prevención de plagas o enfermedades, evitar la erosión, suministro de abonos verdes, entre otros. Estos árboles pueden ser establecidos por el hombre o surgir por regeneración natural. Se ubican de manera dispersa o bajo un arreglo establecido dentro del sistema productivo.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
