Territorial,Expediente,Naturaleza,Tipo Empresa,Estado,Tipo Proyecto,Municipio
Aburrá Norte,AN3-2024-15,Natural,-No aplica-,Activo,Minería,Bello
Zenufaná,ZF3-2025-1,Jurídica,Privada,Activo,Minería,Segovia
Zenufaná,ZF3-2025-2,Jurídica,Privada,Activo,Minería,Yolombó
Zenufaná,ZF3-2025-3,Jurídica,Privada,Activo,Minería,Yolombó
Aburrá Norte,AN3-2022-25,Jurídica,Privada,Activo,Minería,Copacabana
Aburrá Sur,AS3-2025-5,Jurídica,Privada,Activo,Minería,Titiribí
Hevéxicos,HX3-2025-4,Jurídica,Pública,Activo,Construcción y operación de rellenos sanitarios,Caicedo
Zenufaná,ZF3-2025-6,Natural,-No aplica-,Activo,Minería,Yalí
Aburrá Norte,AN3-1995-102,Jurídica,Privada,Archivado,Otros,Girardota
Aburrá Norte,AN3-1995-144,Jurídica,Privada,Activo,Otros,Barbosa
Aburrá Norte,AN3-1995-307,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1995-321,Jurídica,Privada,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1995-377,Jurídica,Pública,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1995-403,Jurídica,Privada,Activo,Explota Materiales construcción: menor a 600.000 toneladas/año,Copacabana
Aburrá Norte,AN3-1995-415,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1995-468,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Medellín
Aburrá Norte,AN3-1995-479,Natural,-No aplica-,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Girardota
Aburrá Norte,AN3-1995-553,Jurídica,Privada,Archivado,Otros,Bello
Aburrá Norte,AN3-1995-555,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Girardota
Aburrá Norte,AN3-1996-167,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Medellín
Aburrá Norte,AN3-1996-204,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Medellín
Aburrá Norte,AN3-1996-309,Jurídica,Privada,Archivado,Otros,Girardota
Aburrá Norte,AN3-1996-44,Jurídica,Privada,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1996-498,Jurídica,Privada,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1996-565,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Medellín
Aburrá Norte,AN3-1996-64,Natural,-No aplica-,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Bello
Aburrá Norte,AN3-1996-71,Natural,-No aplica-,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1997-1006,Natural,-No aplica-,Archivado,"Construcción de carreteras, en la red vial secundaria y terciaria",Barbosa
Aburrá Norte,AN3-1997-1033,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-1043,Natural,-No aplica-,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-1059,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-1067,Natural,-No aplica-,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Bello
Aburrá Norte,AN3-1997-1068,Natural,-No aplica-,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Bello
Aburrá Norte,AN3-1997-58,Natural,-No aplica-,Activo,Otros,Medellín
Aburrá Norte,AN3-1997-594,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-596,Jurídica,Privada,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Medellín
Aburrá Norte,AN3-1997-623,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-643,Jurídica,Privada,Activo,Explota Materiales construcción: menor a 600.000 toneladas/año,Girardota
Aburrá Norte,AN3-1997-684,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Girardota
Aburrá Norte,AN3-1997-687,Jurídica,Pública,Activo,"Construcción de carreteras, en la red vial secundaria y terciaria",Girardota
Aburrá Norte,AN3-1997-710,Natural,-No aplica-,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-752,Jurídica,Privada,Archivado,Otros,Copacabana
Aburrá Norte,AN3-1997-901,Natural,-No aplica-,Activo,Otros,Medellín
Aburrá Norte,AN3-1997-904,Jurídica,Pública,Activo,Otros,Barbosa
Aburrá Norte,AN3-1997-915,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-925,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-930,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-948,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-958,Natural,-No aplica-,Archivado,Otros,Medellín
Aburrá Norte,AN3-1997-984,Jurídica,Privada,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1998-1100,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1108,Natural,-No aplica-,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1111,Jurídica,Pública,Archivado,"Construcción de carreteras, en la red vial secundaria y terciaria",Copacabana
Aburrá Norte,AN3-1998-1123,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1131,Jurídica,Privada,Activo,Explota Materiales construcción: menor a 600.000 toneladas/año,Medellín
Aburrá Norte,AN3-1998-1182,Natural,-No aplica-,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1998-1184,Jurídica,Privada,Archivado,Otros,Girardota
Aburrá Norte,AN3-1998-1216,Jurídica,Privada,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1998-1227,Jurídica,Pública,Archivado,"Construcción de nuevas calzadas, en la red vial secundaria y terciaria",Bello
Aburrá Norte,AN3-1998-1285,Natural,-No aplica-,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Medellín
Aburrá Norte,AN3-1998-1312,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1328,Natural,-No aplica-,Activo,"Construcción de carreteras, en la red vial secundaria y terciaria",Girardota
Aburrá Norte,AN3-1998-1370,Natural,-No aplica-,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1372,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Girardota
Aburrá Norte,AN3-1998-1380,Natural,-No aplica-,Activo,Otros,Barbosa
Aburrá Norte,AN3-1998-1386,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1387,Natural,-No aplica-,Archivado,Otros,Girardota
Aburrá Norte,AN3-1998-1395,Natural,-No aplica-,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Barbosa
Aburrá Norte,AN3-1998-1397,Jurídica,Privada,Activo,Otros,Barbosa
Aburrá Norte,AN3-1998-1399,Jurídica,Privada,Archivado,Otros,Bello
Aburrá Norte,AN3-1998-1401,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1403,Jurídica,Privada,Archivado,Otros,Girardota
Aburrá Norte,AN3-1998-1407,Natural,-No aplica-,Archivado,Construcción y operación de rellenos sanitarios,Copacabana
Aburrá Norte,AN3-1998-1409,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1410,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1998-1413,Jurídica,Privada,Activo,Explota Materiales construcción: menor a 600.000 toneladas/año,Medellín
Aburrá Norte,AN3-1998-1417,Jurídica,Pública,Activo,Otros,Medellín
Aburrá Norte,AN3-1998-1421,Jurídica,Privada,Activo,Otros,Medellín
Aburrá Norte,AN3-1999-1,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1999-102,Natural,-No aplica-,Archivado,Otros,Medellín
Aburrá Norte,AN3-1999-111,Jurídica,Pública,Archivado,"Tendido de líneas sistema de transmisión conformado por el conjunto de líneas con sus equipos asociados, que operan a tensiones menores de 220 KV y que no pertenecen a un sistema de distribución local",Girardota
Aburrá Norte,AN3-1999-113,Jurídica,Pública,Activo,Otros,Medellín
Aburrá Norte,AN3-1999-118,Natural,-No aplica-,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Medellín
Aburrá Norte,AN3-1999-124,Jurídica,Privada,Activo,Otros,Medellín
Aburrá Norte,AN3-1999-14,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1999-18,Natural,-No aplica-,Archivado,Otros,Barbosa
Aburrá Norte,AN3-1999-184,Natural,-No aplica-,Archivado,Otros,Medellín
Aburrá Norte,AN3-1999-194,Jurídica,Pública,Archivado,Otros,Medellín
Aburrá Norte,AN3-1999-2,Jurídica,Privada,Archivado,Otros,Medellín
Aburrá Norte,AN3-1999-20,Jurídica,Privada,Activo,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Medellín
Aburrá Norte,AN3-1999-201,Jurídica,Privada,Activo,Otros,Copacabana
