Expediente,Territorial,Municipio,Naturaleza,Tipo_empresa,Producto,Cantidad,Unidades
CI5-2013-9,Citará,Ciudad Bolívar,Jurídica,Privada,Guadua,-1,No registra
CA5-2016-29,Cartama,Jericó,Jurídica,Privada,Astillas,-1,No registra
CA5-2023-136,Cartama,Venecia,Natural,-No aplica-,Guadua,70,70
PZ5-2018-162,Panzenú,Cáceres,Jurídica,Privada,Astillas,-1,No registra
CI5-2022-70,Citará,Salgar,Natural,-No aplica-,Semillas,2864,KILOS
PZ5-2007-24,Panzenú,El Bagre,Natural,-No aplica-,Cortezas,-1,No registra
PZ5-2007-15,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,-1,No registra
PZ5-2017-144,Panzenú,Zaragoza,-No aplica-,No registrado,Astillas,0,0
CI5-2024-2,Citará,Betania,Natural,-No aplica-,Guadua,-1,No registra
CI5-2018-163,Citará,Ciudad Bolívar,Natural,-No aplica-,Guadua,150,VARAS
CI5-2018-163,Citará,Ciudad Bolívar,Natural,-No aplica-,Guadua,150,VARAS
CI5-2021-202,Citará,Ciudad Bolívar,Natural,-No aplica-,Guadua,30,300
CA5-2019-329,Cartama,Venecia,Natural,-No aplica-,Guadua,16,Metros cubicos
CA5-2011-11,Cartama,Venecia,Jurídica,Privada,Guadua,2000,2000
ZF5-2022-92,Zenufaná,Yolombó,Jurídica,Privada,No registrado,-1,No registra
CA5-2023-69,Cartama,Jericó,-No aplica-,No registrado,Cañabrava,4000,unidad
CA5-2011-4,Cartama,Venecia,Natural,-No aplica-,Guadua,-1,No registra
CI5-2013-5,Citará,Ciudad Bolívar,Natural,-No aplica-,Guadua,200,200
CI5-2013-5,Citará,Ciudad Bolívar,Natural,-No aplica-,Guadua,200,200
CI5-2019-338,Citará,Betania,Natural,-No aplica-,Guadua,-1,No registra
CI5-2023-75,Citará,Betania,Natural,-No aplica-,Guadua,30,1000
CA5-2008-28,Cartama,Fredonia,Natural,-No aplica-,Flores,-1,No registra
CA5-2001-168,Cartama,Santa Bárbara,Natural,-No aplica-,Cortezas,174,Rastras
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,1560,780
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,1560,780
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,1560,780
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,1560,780
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,1560,780
CI5-2013-9,Citará,Ciudad Bolívar,Jurídica,Privada,Guadua,10,500
CI5-2013-9,Citará,Ciudad Bolívar,Jurídica,Privada,Guadua,10,500
ZF5-2018-124,Zenufaná,Maceo,Jurídica,Privada,Semillas,0,0
PZ5-2019-308,Panzenú,Caucasia,Natural,-No aplica-,Astillas,0,0
CA5-2024-24,Cartama,Támesis,Jurídica,Privada,Guadua,505,505
PZ5-2015-13,Panzenú,Caucasia,Natural,-No aplica-,Astillas,-1,No registra
PZ5-2008-11,Panzenú,Caucasia,Natural,-No aplica-,Cortezas,-1,No registra
CA5-2017-72,Cartama,Pueblorrico,Natural,-No aplica-,Guadua,600,Guaduas
PZ5-2006-38,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,-1,No registra
PZ5-2017-249,Panzenú,Zaragoza,Natural,-No aplica-,Astillas,8,m3
PZ5-2014-13,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,-1,No registra
CI5-2018-347,Citará,Andes,Jurídica,Privada,Cañabrava,-1,No registra
CI5-2021-124,Citará,Betania,Natural,-No aplica-,Guadua,-1,No registra
PZ5-2008-22,Panzenú,Nechí,Natural,-No aplica-,Cortezas,-1,No registra
CA5-2012-9,Cartama,Jericó,Natural,-No aplica-,Guadua,-1,No registra
CA5-2025-20,Cartama,Tarso,Natural,-No aplica-,Guadua,320,3200
PZ5-2010-26,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,0,0
PZ5-2010-26,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,0,0
