Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Zenufaná,ZF6-2013-1,Activo,Jurídica,Privada,Puerto Nare,La Sierra,No registrada,Industrial,130ZF-1307-6002,Por la cual se otorga un permiso,10/07/2013
Tahamíes,TH6-2008-1,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Quemas abiertas controladas en zonas rurales,130TH-1208-9362,Por la cual se adopta una decisión,31/08/2012
Tahamíes,TH6-2015-3,Archivado,Jurídica,Privada,Yarumal,No registrado,No registrada,No aplica,160TH-1509-11941,Por la cual se adopta una decisión,28/09/2015
Aburrá Norte,AN6-2023-3,Activo,Jurídica,Privada,Medellín,Altavista,Aguas Frias,Operación de calderas,160AN-RES2310-5037,Por la cual se otorga un permiso,06/10/2023
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,130HX-1406-7279,Por la cual se otorga un permiso,17/06/2014
Aburrá Norte,AN6-2005-2,Activo,Jurídica,Privada,Medellín,No registrado,San Diego,Emisiones de contaminantes por explotación minera,130AN-3844,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,24/10/2005
Zenufaná,ZF6-2009-13,Archivado,Jurídica,Privada,Yolombó,No registrado,Playa Rica,Quemas abiertas controladas en zonas rurales,130ZF-1411-6869,Por la cual se archiva un expediente,27/11/2014
Zenufaná,ZF6-2015-1,Archivado,Jurídica,Privada,Yalí,No registrado,San Pedrito,Quemas abiertas controladas en zonas rurales,160ZF-RES1807-3852,Por la cual se acepta un desistimiento,13/07/2018
Panzenú,PZ6-2017-21,Activo,Natural,-No aplica-,Caucasia,No registrado,No registrada,Industrial,160PZ-RES2312-6508,Por la cual se adopta una decisión,12/12/2023
Aburrá Sur,AS6-2013-3,Archivado,Jurídica,Privada,Itaguí,No registrado,Los Gómez,Operación de calderas,160AS-RES2107-4382,Por la cual se prorroga un permiso,23/07/2021
Aburrá Norte,AN6-2006-3,Activo,Jurídica,Privada,Medellín,Altavista,Aguas Frias,Explotación minera,130AN-8547,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,21/08/2008
Zenufaná,ZF6-2011-1,Archivado,Jurídica,Privada,Yolombó,San Cristobal,El Yolombo,Quemas abiertas controladas en zonas rurales,No registra,Por la cual se otorga un permiso,13/04/2012
Aburrá Sur,AS6-1996-62,Archivado,Jurídica,-No aplica-,Amagá,No registrado,Travesías,Descargas Atmosféricas por chimeneas o ductos(Comerciales),130AS-1109-6135,Por la cual se adopta una decisión,07/09/2011
Zenufaná,ZF6-2004-16,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1301-5723,Por la cual se resuelve un recurso de reposición,16/01/2013
Cartama,CA6-2020-12,Activo,Natural,-No aplica-,Venecia,Bolombolo,No registrada,Explotación minera,160CA-RES2103-1263,Por la cual se otorga un permiso,08/03/2021
Zenufaná,ZF6-2020-4,Archivado,Jurídica,Privada,Puerto Berrío,No registrado,Dorado Calamar,Industrial,160ZF-RES2007-4399,Por la cual se otorga un permiso,31/07/2020
Aburrá Sur,AS6-2011-2,Archivado,Jurídica,Privada,Caldas,No registrado,La Raya,Industrial,160AS-1508-9377,Por la cual se acepta un desistimiento tácito,27/08/2015
Aburrá Norte,AN6-2015-3,Archivado,Jurídica,Privada,Medellín,Altavista,Aguas Frias,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-1609-18347,Por la cual se otorga un permiso,19/09/2016
