Territorial,Tipo Estudio,Expediente,Estado,Naturaleza,Clase de empresa,Municipio,Nombre proyecto,Resolución,Descriptor,Fecha resolución
Cartama,Recursos naturales,CA2-2016-2,Archivado,Jurídica,Privada,Jericó,estudio de los recursosnaturales quebrada Quebradona,160CA-RES2001-218,Por la cual se archiva un expediente,01/17/2020 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2015-2,Archivado,Jurídica,Privada,Anzá,PROYECTO APROVECHAMIENTO DEL RECURSO HIDRICO PARA LA GENERACION DE ENERGIA ELECTRICA EN PEQUEÑA CENTRAL HIDROELECTRICA,160HX-RES1805-2472,Por la cual se cambia de solicitante,05/09/2018 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-2,Archivado,Jurídica,Privada,Caramanta,CARACTERIZACIÓN BIOLÓGICA DEL SECTOR MARINO COSTERO DE LA DESEMBOCADURA DEL RIO CECOCLI Y FONDOS BLANDOS ALEDAÑOS,160-1609-22840,Por la cual se archiva un expediente,09/16/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-6,Activo,,,Montebello,RUBÉN DARÍO QUINTERO LÓPEZ  N/A,160-RES2412-5967,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/30/2024 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-6,Activo,,,Montebello,RUBÉN DARÍO QUINTERO LÓPEZ  N/A,160-RES2412-5967,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/30/2024 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-6,Activo,,,Montebello,RUBÉN DARÍO QUINTERO LÓPEZ  N/A,160-RES2412-5967,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/30/2024 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-10,Activo,Jurídica,Privada,Segovia,RECOLECCIÓN DE ESPECIMENES,160-RES2412-5457,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/09/2024 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-10,Activo,Jurídica,Privada,Segovia,RECOLECCIÓN DE ESPECIMENES,160-RES2412-5457,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/09/2024 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2010-5,Archivado,Natural,-No aplica-,Puerto Berrío,PEQUEÑA CENTRAL HIDROELÉCTRICA DE SAN JUAN DE BEDOUTH,130ZF-1210-5475,Por la cual se adopta una decisión,10/18/2012 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-5,Archivado,Jurídica,Privada,Puerto Berrío,Permiso de estudio para microcuenca Rio Nus,160ZF-RES1810-5512,Por la cual se archiva un expediente,10/08/2018 12:00:00 AM
