Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Aburrá Sur,AS8-2021-82,12/20/2022 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2012-24,12/03/2013 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2010-3,05/06/2014 12:00:00 AM,Archivado,Natural,-No aplica-,Copacabana,Muro contención en concreto,Permanente
Zenufaná,ZF8-2005-3,02/01/2012 12:00:00 AM,Archivado,Jurídica,Privada,Amalfi,Canalización en U,Permanente
Aburrá Sur,AS8-2022-16,05/26/2023 12:00:00 AM,Activo,Jurídica,Privada,Sabaneta,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2003-4,02/08/2010 12:00:00 AM,Archivado,Jurídica,Privada,Puerto Nare,Muro contención en concreto,Permanente
Aburrá Sur,AS8-2007-8,12/22/2022 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2011-17,04/16/2012 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Puente,Permanente
Aburrá Norte,AN8-2023-102,03/07/2024 12:00:00 AM,Activo,Jurídica,Privada,Barbosa,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2022-61,08/22/2022 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Alcantarillado,Permanente
Zenufaná,ZF8-2015-23,05/23/2017 12:00:00 AM,Archivado,Natural,-No aplica-,Yondó,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2006-2,01/15/2008 12:00:00 AM,Archivado,,,Santa Fé De Antioquia,Canalización Trapezoidal,Permanente
Hevéxicos,HX8-2021-51,08/19/2021 12:00:00 AM,Archivado,Jurídica,Privada,Sopetrán,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-18,05/20/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-10,10/25/2022 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Muro contención en concreto,Permanente
Cartama,CA8-2013-8,03/19/2015 12:00:00 AM,Activo,Jurídica,Privada,Fredonia,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2013-58,03/18/2020 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2005-8,08/30/2006 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Canalización en U,Permanente
Cartama,CA8-2008-2,12/23/2016 12:00:00 AM,Archivado,Jurídica,Privada,Támesis,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2009-5,06/30/2023 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Cobertura Abovedada,Permanente
Citará,CI8-2017-115,08/27/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Jardín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2018-50,06/12/2018 12:00:00 AM,Activo,Natural,-No aplica-,Jericó,Cobertura en Cajón,Permanente
Citará,CI8-2016-1,10/26/2016 12:00:00 AM,Archivado,Natural,-No aplica-,Andes,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2012-3,08/28/2012 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-10,08/20/2019 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2013-29,09/22/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Alcantarillado,Permanente
Aburrá Sur,AS8-2017-123,12/26/2022 12:00:00 AM,Activo,Natural,-No aplica-,Amagá,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2015-6,07/17/2017 12:00:00 AM,Archivado,Jurídica,Pública,San Jerónimo,Otras Obras y Construcciones,Permanente
Cartama,CA8-2002-2,07/18/2017 12:00:00 AM,Activo,Natural,-No aplica-,Venecia,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2005-1,06/15/2005 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-17,07/08/2016 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2013-23,06/26/2015 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Alcantarillado,Permanente
Aburrá Norte,AN8-2018-4,11/28/2018 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2012-2,07/28/2015 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Canalización en U,Permanente
Aburrá Sur,AS8-2008-1,04/27/2023 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Cobertura Circular,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-8,11/24/2020 12:00:00 AM,Activo,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2009-5,02/10/2012 12:00:00 AM,Archivado,Jurídica,Privada,Santa Fé De Antioquia,Gaviones,Permanente
Panzenú,PZ8-2015-34,04/22/2021 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2007-4,12/06/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2015-9,02/09/2022 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2006-14,08/12/2024 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Canalización Trapezoidal,Permanente
Aburrá Sur,AS8-2012-17,11/22/2012 12:00:00 AM,Archivado,Natural,-No aplica-,Sabaneta,Muro contención en concreto,Permanente
Hevéxicos,HX8-2011-7,09/25/2019 12:00:00 AM,Archivado,Jurídica,Privada,Santa Fé De Antioquia,Gaviones,Permanente
Aburrá Norte,AN8-2017-96,08/26/2019 12:00:00 AM,Archivado,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2011-9,08/30/2022 12:00:00 AM,Archivado,Jurídica,Pública,Belmira,Muro contención en concreto,Permanente
Panzenú,PZ8-2015-37,06/05/2018 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2006-39,03/01/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2014-3,09/30/2014 12:00:00 AM,Archivado,Jurídica,Privada,Fredonia,Otras Obras y Construcciones,Provisional
Hevéxicos,HX8-2017-12,05/22/2017 12:00:00 AM,Archivado,Jurídica,Privada,Sopetrán,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2010-59,08/27/2024 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2012-8,12/26/2016 12:00:00 AM,Activo,Jurídica,Privada,Fredonia,Muro contención en concreto,Permanente
Hevéxicos,HX8-2024-4,12/09/2024 12:00:00 AM,Activo,Jurídica,Privada,San Jerónimo,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2021-100,11/16/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2003-4,10/08/2003 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Alcantarillado,Permanente
Aburrá Sur,AS8-2014-14,06/09/2022 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Puente,Permanente
