id,Tipo_captacion,Nombre_fuente,Nombre_cuenca,Cota,Permanentes,Flotantes,Domestico,Agricola,Pecuario,Piscicola,Caudal_total
117353.0,Superficial,19851 - La Florida,Q. San Mateo,1420,3,2,0.0073,0.0153,0,0,0.0226
125944.0,Superficial,10549 - Salinas,Q. PIEDRAS BLANCAS,1966,1,2,0.003877,0,0.000197,0,0.004074
122869.0,Superficial,21807 - Sin Nombre,Q. Guaracu,1231,4,9,0.016481,0,0.007824,0,0.024305
118738.0,Superficial,12059 - Nacimiento Las Peñas,Directos R. Cauca (md) entre R. Tonusco y Q. La Clara,1451,4,4,0.0104,0,0.011435,0,0.021835
117470.0,Superficial,2867 - Borbollon,Q. LA IGUANA,2600,3,5,0.010706,0.005,0.000745,0,0.016451
105103.0,Superficial,15410 - Sin Nombre Afluente Quebrada La Soledad,R. Porce Parte Media,1205,3,3,0.0089,0,0,0,0.0089
113295.0,Superficial,2027 - La Rosa,Q. EL MOLINAL,2077,5,0,0.010127,0,0,0,0.010127
105235.0,Superficial,15288 - Sin Nombre (Afluente Rio Nus),R. Nus (md) Entre Q. San José y Q. Santa Gertrudis,1385,6,1,0.0131,0.1,0.0012,0,0.1143
109207.0,Superficial,2564 - La Tristeza,R. Amagá,1608,0,0,0,0.012,0,0,0.012
111371.0,Superficial,3649 - Nacimiento B,DIRECTOS AL R. ABURRA ZU MEDELLIN (INTERCUENCA 5),1847,7,0,0.014,0,0.0003,0,0.0143
107915.0,Superficial,20578 - Nacimiento Sierra Baja,R. Volcán-La Legia,1050,3,2,0.007963,0,0,0,0.007963
115752.0,Superficial,21279 - Nacimiento Sin Nombre Finca La Juliana,Q. La Pena,1950,2,2,0.005857,0,0,0,0.005857
105227.0,Superficial,11424 - Charco Colorado,R. Aurra,2610,7,0,0.0139,0.0061,0.0076,0,0.0276
112145.0,Superficial,13067 - La Nuarque,Q. La Sopetrana,1866,0,0,0,0.11,0,0,0.11
113395.0,Superficial,15443 - La Planta,R. Guadalupe,1820,2,3,0.0068,0,0,0,0.0068
112294.0,Superficial,15258 - Sin Nombre Afluente Q Doña Ana,R. San Bartolomé,1212,6,0,0.012222,0,0,0,0.012222
105050.0,Superficial,15330 - Sin Nombre (Afluente Quebrada Malena),"Directos R. Magdalena (mi), Q. Malena",156,5,2,0.0121,0.0058,0,0,0.0179
104685.0,Superficial,18208 - Sin Nombre,Q. Sabaletas,2217,2,4,0.0077,0,0,0,0.0077
109345.0,Superficial,13494 - Sin Nombre,R. Piedras,1983,1,6,0.0076,0,0,0,0.0076
109423.0,Superficial,14681 - Sin Nombre,R. Aurra,2551,10,0,0.0198,0,0,0,0.0198
110932.0,Superficial,5523 - Sin Nombre (Nace En Predio De Diego Palacio),Q. PIEDRAS BLANCAS,1618,3,0,0.006076,0.003,0,0,0.009076
120388.0,Superficial,13753 - Nacimiento #3 En Predio De Oscar García,Q. LA GARCIA,2490,0,0,0,0,0.0025,0,0.0025
112265.0,Superficial,15331 - Sin Nombre Afluente Rio Nus,R. Nus (md) Entre Q. San José y Q. Santa Gertrudis,1200,4,10,0.017407,0,0,0,0.017407
112897.0,Superficial,21062 - Sin Nombre (Jose Alirio Osorio),Q. Chirapoto,1777,2,2,0.00581,0,0,0,0.00581
112494.0,Superficial,10244 - La Taparo,Q. Taparo,1560,0,0,0,0.0001,0.000426,0,0.000526
121040.0,Superficial,8560 - La Telesfora,Q. EL MOLINAL,2305,0,4,0.0037,0.002,0,0,0.0057
115108.0,Superficial,3554 - Doña Maria,Q. DOÑA MARIA,1798,3,7,0.012557,0,0.011184,0,0.023741
125545.0,Superficial,21267 - Sin Nombre,Q. Santa Rita,1795,5,8,0.017534,0.033333,0,0,0.050867
114575.0,Superficial,2345 - La Chacona,Q. EL CHOCO,1520,0,0,0,0,0,0.0008,0.0008
121321.0,Superficial,16151 - La Arenera,Q. LA IGUANA,2194,4,0,0.0081,0.064,0.0012,0,0.0733
117461.0,Superficial,18772 - El Platanal,Q. San Mateo,1875,6,0,0.0122,0.0231,0,0,0.0353
115216.0,Superficial,21201 - Nacimiento Vereda La Cancana,Q. La Cancana,1327,1,1,0.002963,0,0.005069,0,0.008032
124570.0,Superficial,6177 - Borbollon 1,Q. LA IGUANA,2538,4,0,0.008102,0.1952,0.0034,0,0.206702
109542.0,Superficial,17116 - Sin Nombre (Finca De Juan Eredia),DIRECTOS AL R. ABURRA A SALIDA,1455,4,0,0.0081,0.01,0.0017,0,0.0198
114965.0,Superficial,18231 - La Isabela,Q. DOÑA MARIA,1919,3,3,0.008854,0,0.001157,0,0.010011
123657.0,Superficial,4809 - Mal Paso,DIRECTOS  R.  ABURRA (INTERCUENCA 4),1643,6,3,0.014931,0.002,0.005134,0.001667,0.023732
126024.0,Superficial,19270 - Sin Nombre (Nace Margen Derecha Vía El Cabuyal),Q. PIEDRAS BLANCAS,1655,0,0,0,0.0015,0.0003,0,0.0018
124904.0,Superficial,22046 - Nacimiento Sin Nombre,R. Pedral,1830,3,2,0.007928,0,0,0,0.007928
110544.0,Superficial,12089 - Quebrada Piedra Negra,Q. PIEDRAS BLANCAS,1768,0,0,0,0.002,0,0,0.002
116572.0,Superficial,12140 - Los Villadas,Q. Sabaletas,1865,6,0,0.0119,0.0046,0.003,0,0.0195
121015.0,Superficial,4517 - El Currucao,Q. JUAN COJO (Q. GRANDE),1901,0,0,0,0.35,0.006,0,0.356
116298.0,Superficial,20980 - Sin Nombre (Alias Irra- Finca Lourdes),DIRECTOS RI. ABURRA  (INTERCUENCA 2),1584,0,3,0.002778,0,0,0,0.002778
107321.0,Superficial,16607 - Quebrada Mulatico,R. Mulatos,1402,6,2,0.013727,0,0,0,0.013727
115127.0,Superficial,3554 - Doña Maria,Q. DOÑA MARIA,2004,3,5,0.010637,0,0,0,0.010637
123452.0,Superficial,21873 - La Laguna-Morroñato,R. Frío,2275,1,5,0.006609,0.025,0.002802,0,0.034411
114529.0,Superficial,2331 - La Honda,Q. DOÑA MARIA,2111,5,0,0.010127,0,0.001736,0,0.011863
106678.0,Superficial,1660 - El Bosque 1,R. Aurra,2672,5,0,0.0099,0,0.0129,0,0.0228
108897.0,Superficial,15588 - La Minita,DIRECTOS AL R. ABURRA ZU MEDELLIN,2131,4,0,0.008102,0,0,0,0.008102
