ticket,evento,fecha,municipio,vereda,total arboles,total hectareas,nombre comun,nombre cientifico,arboles
3942,Siembra Reserva Natural de las Aves Arrierito Antioqueño,08/03/2020 12:00:00 AM,Anorí,El Roble,9300,18.6,Mantequillo,Turpina heterophylla,221
5342,Sembratón,08/21/2021 12:00:00 AM,San Pedro de los Milagros,La Apretel,2348,4.696,Guayacán Amarillo,Tabebuia chrysantha,2348
2741,Convenio interadministrativo 040-COV2106-29,01/01/2022 12:00:00 AM,Yalí,San Pedrito,11,0.022,Leucaena,Leunaena leucocephala,3
1842,Obligación Contractual,10/02/2021 12:00:00 AM,Armenia,Expansion Urbana,207,0.414,Sauco medicinal,Sambucus nigra,17
3293,Siembra en conmemoración del día del medio ambiente,06/04/2022 12:00:00 AM,Buriticá,Pajarito,500,1,Cedro Amarillo,Albizia guachapele,100
5008,Sembratón,02/10/2021 12:00:00 AM,Itagüí,Cabecera Municipal,111,0.222,Guayacán Amarillo,Tabebuia chrysantha,111
4692,Sembratón,07/14/2021 12:00:00 AM,Caicedo,La Garcia,72,0.144,Jazmin de Noche,Pitosporum undulatum,72
3,Proyecto Cartama,12/19/2019 12:00:00 AM,Támesis,San Antonio,87500,175,Cariseco,Billia rosea,2900
907,Jornada de Sembratón El Pescado,05/10/2021 12:00:00 AM,Santa Fe de Antioquia,El Pescado,400,0.8,Ébano,Caesalpinia ebano,50
6919,Convenio 040-COV 2303-03,07/30/2024 12:00:00 AM,Caucasia,Los Mangos,500,1,Olleto,Lecythis sp.,50
6419,Obligación Contractual,09/30/2023 12:00:00 AM,Puerto Nare,Peña Flor,1920,3.84,Suribio,Zygia longifolia,66
6580,Sembraton en el Resguardo Indigena Karmata Rua,09/15/2023 12:00:00 AM,Jardín,Cristiania,100,0.2,Nogal Cafetero,Cordia alliodora,100
3516,Predio Privado del señor Mario Gómez,10/05/2022 12:00:00 AM,Barbosa,La Lomita,200,0.4,Nogal Cafetero,Cordia alliodora,200
