Categoría de Manejo,Nombre del Área Protegida,Área (ha),Acto Administrativo Declaratoria,Municipios de Inluencia,Atributos (valores objeto de conservación),Objetivos de Conservación,Tipo de Ecosistema presente en el AP,Acto Administrativo Plan de Manejo
Distrito Regional de Manejo Integrado,Ciénagas El Sapo Hoyo Grande,"12,227.20144",Acuerdo 508 del 26 de octubre de 2017,Nechí,"Recursos pesqueros 
Cuniculus paca (guagua)","1. Conservar y restaurar la estructura de los ecosistemas y paisajes de las microcuencas de los complejos Cenagosos El Sapo y Hoyo Grande, promoviendo su encadenamiento funcional y su resiliencia.
2. Garantizar la sostenibilidad de la oferta de servicios ecosistémicos a escala local y regional.
3. Promover la transición de sistemas productivos convencionales hacia sistemas productivos sostenibles y compatibles con la restauración y la conservación de ecosistemas locales.
4. Conservar los sistemas hídricos de los complejos Cenagosos El Sapo y Hoyo Grande, aumentando la resiliencia y aportando a la mitigación de los efectos del cambio climático.",Bosques basales inundables,"Acuerdo 649 del 05 de diciembre de 2022, Por el cual se adopta el Plan de Manejo del Distrito Regional de Manejo Integrado de las Ciénagas El Sapo y Hoyo Grande."
Distito de Manejo Integrado,Cañon del Rio Alicante,"6,292.427415",Acuerdo 233 del 12 de octubre de 2006,"Maceo, Puerto Berrío y Yolombó","Steatornis caripensis (Guacharo)
Ateles hybridus ssp. Brunneus (Mono araña)
Crax Alberti (Paujil piquiazul)
Panthera onca (Pantera)
Zamia incognita
Guanábano de monte (Yumbé)","1. Conservar el ecosistema de Bosque Húmedo Tropical en el área del DMI, el cual hace parte de la provincia biogeográfica del Chocó-Magdalena, refugio del Nechí - San Lucas, compuesta por un mosaico de bosques remanentes.
2. Preservar las poblaciones y los hábitats de especies amenazadas y/o endémicas además de especies de flora del género Zamia (Familia Zamiaceae). 
3. Asegurar la oferta de servicios ambientales en el DMI, manteniendo la riqueza hídrica representada por el río Alicante y las quebradas Alejandría, Sonadora, La Chorrera, Las Torres, Guardasol, que surten acueductos para consumo humano.
4. Propiciar la recuperación para la preservación de las coberturas naturales en la zona de oferta de bienes y servicios ambientales, a través de acciones de restauración en áreas de pastoreo y aprovechamiento ilegal con especies de importancia económica y ecológica.
5. Preservar las formaciones cársticas que incluyen cavernas, abrigos rocosos y acantilados de gran valor ecológico, espeleológico, cultural y paisajístico.
6. Proporcionar el enriquecimiento de corredores biológicos a partir de las coberturas vegetales existentes y áreas de retiro de corrientes de agua que posibilite la restauración y recuperación de las áreas degradadas en el DMI y la conectividad ecológica.
7. Proteger sitios con potencial ecoturístico y paisajístico como la zona cárstica caracterizada por calizas y mármoles, sistema de cavernas, abrigos rocosos y acantilados de alto valor ecológico, espeleológico y cultural.
8. Garantizar la integridad de los ecosistemas en todo el DMI, mediante el desarrollo e implementación de sistemas agroforestales, silvopastoriles, pesca artesanal controlada y protección de retiros de corrientes de agua.",Bosque húmedo  tropical,"Acuerdo 373 del 2010, por el cual se aprueba el Plan Integral de Manejo del Distrito de manejo integrado de los Recursos Naturales Renovables el Cañón del Río Alicante"
Distito de Manejo Integrado,Cuchilla Jardín-Támesis,"28,061.2832",Acuerdo 384 del 18 de mayo de 2011,"Jardín, Andes, Támesis, Jericó y Caramanta","Tremarctos ornatus (Oso de anteojos)
Ognorhynchus icterotis (Loro orejiamarillo)
Wettinia kalbreyerii (Palma macana)","1. Preservar las coberturas vegetales reportadas para la zona, entre ellas especies de briofitos, de hepáticas y musgos, representativas de los bosques altoandinos, además de las más de 200 especies de plantas vasculares sin semillas.
2. Conservar los hábitats para las 429 especies de plantas superiores en la zona de oferta y con potencial de oferta de bienes y servicios ambientales.
3. Promover la conservación de los Bosques Altoandinos, a través de procesos de restauración en las diferentes zonas que lo conforman.
4. Mantener la oferta de bienes y servicios ambientales, especialmente el recurso hídrico mediante acciones de restauración y protección de bosques de galería que actúan como corredores biológicos.
5. Conservar hábitats y nichos ecológicos que aseguren las condiciones necesarias para la preservación de la biodiversidad representativa de los ecosistemas de bosques subandinos y andinos con alto valor ecológico.
6. Proteger y propiciar la restauración de las coberturas naturales en el escarpe, hito geográfico y además ubicado en la zona de amenaza alta.
7. Promover acciones para la reconversión de la agricultura y la ganadería tradicional, a través de actividades de investigación, interpretación ambiental, educación ambiental y el establecimiento de sistemas productivos sostenibles.",Bosque altoandino,"Acuerdo 384 del 2011, por el cual se realindera y adopta el Plan Integral de Manejo del Distrito de Manejo Integrado de los Recursos Naturales Renovables la Denominada Cuchilla Jardín Támesis."
Distito de Manejo Integrado,Cerro Plateado - Alto San José,"8,900.491302",Acuerdo 385 del 18 de mayo de 2011,"Salgar, Betulia y Concordia","Tremarctos ornatus (Oso Andino)
Hypopyrrhus pyrohypogaster (Cacique Candela)","1. Mantener, preservar y restaurar la condición natural de espacios que representen los ecosistemas del país o combinaciones características de ellos. Lo cual se cumple parcialmente en el sector Norte y Sur del DMI. 
2. Conservar la capacidad productiva de ecosistemas naturales o de aquellos en proceso de restablecimiento de su estado natural, así como la viabilidad de las poblaciones de especies silvestres, de manera que se garantice una oferta y aprovechamiento sostenible de los recursos biológicos. Lo cual se cumple parcialmente en el sector Norte y Sur del DMI.
3. Mantener las coberturas naturales y aquellas en proceso de restablecimiento de su estado natural, así como las condiciones ambientales necesarias para regular la oferta de bienes y servicios ambientales. Lo cual se cumple parcialmente en el sector Norte y Sur del DMI.
4. Conservar áreas que contengan manifestaciones de especies silvestres, agua, gea, o combinaciones de éstas, que se constituyen en espacios únicos, raros o de atractivo escénico especial, debido a su significación científica, emblemática o que conlleven significados tradicionales especiales para las culturas del país. Lo cual se cumple parcialmente en el sector Norte y Sur del DMI. 
5. Proveer espacios naturales o aquellos en proceso de restablecimiento de su estado natural, aptos para el deleite, la recreación, la educación, el mejoramiento de la calidad ambiental y la valoración social de la naturaleza. Lo cual se cumple en el DMI.","Bosque Alto Andino 
Páramo y Subpáramo","Acuerdo 385 del 2011, por el cual se realindera y adopta el Plan Integral de Manejo Distrito de Manejo Integrado de los Recursos Naturales Renovables La Cuchilla Cerro Plateado – Alto de San José"
Distito de Manejo Integrado,Nubes-Trocha-Capota,"4,183.969275",Acuerdo 352 del 20 de mayo de 2010,"Jericó, Pueblorrico y Tarso","Setophaga cerulea (Reinita cielo azul)
Aniba perutilis Hamsley (Comino)","1. Conservar las condiciones naturales del bosque de niebla ubicado sobre el escarpe montañoso en la zona de especial interés ambiental y paisajístico, al igual que el humedal de montaña conocido como Laguna La Cascada.
2. Preservar en toda el área del DMI las poblaciones de mono aullador (Allouata seniculus), así mismo la preservación de las especies de aves nativas, aves migratorias y especies acuáticas propias del humedal Laguna La Cascada.
3. Preservar en toda el área del DMI los hábitats de especies de flora como orquídeas, bromelias, musgos, líquenes, helechos, begonias, peperomias y especies de importancia ecológica.
4. Restaurar la conectividad ecológica de los bosques y fragmentos de vegetación natural existente al interior del DMI y sobre las fuentes hídricas, especialmente en el escarpe ubicado en la zona de especial interés ambiental y paisajístico y en el corredor de la quebrada Las Cruces en la zona silvopastoril sostenible.
5. Mantener las condiciones ambientales de la zona de oferta de bienes y servicios ambientales específicamente en la estrella fluvial conformada por los altos Las Nubes, La Capota y La Trocha.",Bosque premontano y montano bajo,"Acuerdo 372 del 2010, por el cual se aprueba el Plan Integral de Manejo Distrito de Manejo Integrado de los Recursos Naturales Renovables
Nubes – Trocha y Capota"
Distito de Manejo Integrado,Rios Barroso San Juan,"3,037.191646",Acuerdo 383 del 18 de mayo de 2011,Salgar y Pueblorrico,"Lontra longicaudis (Nutría)
Brycon henni (Sabaleta) 
Aphelandra blandii
Astronium graveolens (Amargoso)
Pitcairnia explosiva (Bromelias terrestres)
Carludovica palmata (Iraca)
Quercus humboldtii (Roble andino)
Magnolia hernandezii (Molinillo)
Cedrela odorata (Cedro)
Godoya antioquensis (Caunce)
Cecropia peltata (Yarumo)","1. Mantener Preservar y restaurar la condición natural de espacios que representen los ecosistemas del país o combinaciones características de ellos. Lo cual se cumple en los ejes de los ríos y los bosques asociados del DMI. 
2. Preservar las poblaciones y los hábitats necesarios para la sobrevivencia de las especies o conjuntos de especies silvestres que presentan condiciones particulares de especial interés para la conservación de la biodiversidad, con énfasis en aquellas de distribución restringida. Lo cual se cumple en los ejes de los ríos y los bosques asociados del DMI. 
3. Conservar la capacidad productiva de ecosistemas naturales o de aquellos en proceso de restablecimiento de su estado natural, así como la viabilidad de las poblaciones de especies silvestres, de manera que se garantice una oferta y aprovechamiento sostenible de los recursos biológicos. Lo cual se cumple en los ejes de los ríos y los bosques asociados del DMI. 
4. Mantener las coberturas naturales y aquellas en proceso de restablecimiento de su estado natural, así como las condiciones ambientales necesarias para regular la oferta de bienes y servicios ambientales. Lo cual se cumple parcialmente en el DMI.
5. Conservar áreas que contengan manifestaciones de especies silvestres, agua, gea, o combinaciones de éstas, que se constituyen en espacios únicos, raros o de atractivo escénico especial, debido a su significación científica, emblemática o que conlleven significados tradicionales especiales para las culturas del país. Lo cual se cumple en el DMI. 
6. Proveer espacios naturales o aquellos en proceso de restablecimiento de su estado natural, aptos para el deleite, la recreación, la educación, el mejoramiento de la calidad ambiental y la valoración social de la naturaleza. Lo cual se cumple en el DMI.
7. Conservar espacios naturales asociados a elementos de cultura material o inmaterial de grupos étnicos. Lo cual se cumple en el DMI.",Bosque Seco Tropical premontano,"Acuerdo 383 del 2011, por el cual se realindera y adopta el Plan Integral de Manejo del Distrito de Manejo Integrado de los Recursos Naturales Renovables los Ríos Barroso  y San Juan"
Distito de Manejo Integrado,Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño,"42,590.93468",Acuerdo 358 del 14 de septiembre de 2010,"Belmira, San José de la Montaña, Entrerríos, San Pedro de los Milagros, San Andrés de Cuerquia, San Jerónimo, Sopetrán, Olaya, Liborina y Sabanalarga","Espelettia occidentalis var antioquensis
Puya roldanii (Bromelia)
Paepalonthus columbiensis
Arogoa occidentales 
Bejaria resinosa y B. aestuans (Pegamosco)
Diplostephium revolutum (Linochilus revolutus)
Quercus humboldtii (Roble Andino)
Podocarpus oleifolius  (Pino Colombiano)
Prumnopitys montana (Chaquiro)
Ceroxylon parvifrons","1. Conservar la oferta de bienes y servicios ambientales especialmente el recurso hídrico en las áreas ubicadas hacia el occidente del Cañón del río Cauca y hacia el altiplano norte antioqueño.
2. Conservar las áreas de bosques altoandinos y páramos, que corresponden a los ecosistemas naturales propios, ubicados en un rango de altura entre los 2.600 y 3.350 msnm.
3. Preservar la cobertura existente en los bosques y subpáramos, donde se observa una alta profusión de plantas epífitas, representadas por una gran diversidad de especies de musgos, líquenes, helechos, orquídeas y bromelias.
4. Promover la conservación de especies de gran valor comercial como el chaquiro (Podocarpus oleifolius), el diomato (Prumnopitys montana) y la palma de ramo (Ceroxylon parvifrons.
5. Caracterizar y evaluar el impacto de la fragmentación forestal y determinar los corredores de restauración en la zona de mayor potencial de oferta de bienes y servicios ambientales.","Bosques Alto Andinos
Bosque montano bajo y montano","Acuerdo 358 del 2010, por el cual se realindera y aprueba el Plan Integral de Manejo del Distrito de Manejo Integrado de los Recursos Naturales Renovables, Sistema de Páramos y Bosques Alto Andinos del Noroccidente Medio Antioqueño."
Distrito Regional de Manejo Integrado,Cacica Noría,"5,200.607813",Acuerdo 480 del 29 de noviembre de 2016,Anorí,"Lipagus weberi (Arrierito antioqueño)
Grandes felinos 
Trigonobalanus excelsa (Roble negro)","1. Preservar los hábitats naturales para la conservación de las comunidades de fauna y flora de distribución restringida, raras y/o amenazadas, asociadas a los bosques muy húmedos premontanos del norte (bmh-PM) de la cordillera central, presentes en el “DMI Cacica Noría”.
2. Favorecer la conectividad ecosistémica, de tal forma que se asegure la continuidad de los procesos evolutivos y ecológicos que mantienen la diversidad biológica regional en el “DMI Cacica Noría”.
3. Conservar espacios naturales que pueden ser aptos para el deleite, la recreación, la educación y la valoración social tanto de comunidades locales como de visitantes al “DMI Cacica Noría”.
4. Mantener y/o mejorar las coberturas vegetales naturales, para garantizar la continuidad de los procesos ecológicos, y asegurar la prestación de los servicios ecosistémicos del “DMI Cacica Noría”.
5. Promover la implementación de buenas prácticas en el uso sostenibles de los recursos naturales presentes en el “DMI Cacica Noría”, como acción de conservación de los ecosistemas estratégicos.",Bosque Húmedo Tropical Pre-Montano Subandino,"Acuerdo 574 del 2019, por medio del cual se adopta el Plan de Manejo del Área Protegida del DRMI Cacica Noría"
Parque Natural Regional,Corredor de Las Alegrías,"10,086.44435",Acuerdo 459 del 2 de julio de 2015,"Anzá, Caicedo y Santa Fe de Antioquia","Diglossa gloriosissima (Diglosa pechirrufa)
Tremarctos ornatus (Oso de anteojos)
Puma concolor (Puma)
Quercus humboldtii (Roble Andino)","1. Preservar los hábitats naturales para favorecer la supervivencia de las poblaciones de especies de fauna y flora de distribución restringida, rara y/o amenazada que se asocian a los bosques altoandinos y los ecosistemas de páramo del norte de la cordillera occidental.
2. Favorecer la conectividad ecosistémica, de tal forma que se asegure la continuidad de los procesos evolutivos y ecológicos que mantienen diversidad biológica regional.
3. Aunar esfuerzos de conservación a nivel regional, incrementando la conectividad y consolidando una gran matriz de áreas protegidas en el norte de la cordillera occidental.
4. Preservar espacios naturales que pueden ser aptos para el deleite, la recreación, la educación y la valoración social tanto de comunidades locales como de visitantes.
5. Mantener o incrementar las coberturas naturales y los procesos biológicos actuales para la correcta prestación de servicios ecosistémicos de provisión, de regulación, culturales y de soporte.
6. Potenciar la resistencia y resiliencia de los sistemas socio-ecológicos regionales como medida de prevención y mitigación de riesgos y adaptación a los diferentes escenarios de cambio climático global.",Bosques Alto Andinos,"Acuerdo 559 del 2019, por el cual se adopta el Plan de Manejo del Parque Natural Regional Corredor de las Alegrías"
Distrito Regional de Manejo Integrado,Barbacoas,"32,074.86019",Acuerdo 493 del 05 de mayo de 2017,Yondó,"Manatí
Bocachico
Bagre rayado
Pataló
Crax Alberti (Paujil picoazul)
Ateles hybridus (Mono Frontino)
Abarco
Sapán
Comino","1. Preservar y restaurar la estructura, composición y función de los ecosistemas presentes en la Ciénaga de Barbacoas. 
2. Preservar las poblaciones y hábitats necesarios para la sobrevivencia de las especies o conjuntos de especies silvestres que presentan condiciones particulares de especial interés para la conservación de la biodiversidad en la Ciénaga de Barbacoas.
3. Conservar los recursos pesqueros presentes en la Ciénaga de Barbacoas de manera que se garantice una oferta y aprovechamiento sostenible.
4. Mantener la provisión de servicios ecosistémicos, impulsando actividades productivas sostenibles.",Bosques basales inundables,"Acuerdo 674 del 2023,Por el cual se adopta el Plan de Manejo del Distrito Regional de Manejo Integrado Ciénaga de Barbacoas declarado mediante Acuerdo del Consejo Directivo de CORANTIOQUIA No.180-ACU1705-493 del 05 de mayo de 2017"
